the_geom,ObjectID,Name,Address
POINT (-90.107068546449 29.983344772187),22,Masonic Cemetery,400  CITY PARK AVE
POINT (-90.118436619274 29.989533053711),23,Lake Lawn Park Cemetery,5454  PONTCHARTRAIN BLVD
POINT (-90.111347853494 29.98155027355),11,Greenwood Cemetery,120  CITY PARK AVE
POINT (-90.12183846244 29.947507437731),8,Carrollton Cemetery,1701  HILLARY ST
POINT (-90.108303988928 29.98005275339),16,St. John/Hope Mausoleum,4841  CANAL ST
POINT (-90.104589104837 29.983918404446),5,Holt Cemetery,635  CITY PARK AVE
POINT (-90.0607559486 30.001108991662),4,Congregation Beth Israel,4221  FRENCHMEN ST
POINT (-90.111208391564 29.985024733107),2,Charity Hospital Cemetery,5050  CANAL ST
POINT (-90.1114930725 29.981898366004),21,"St. Patrick No. 1, No. 2, & No.3",143  CITY PARK AVE
POINT (-90.071143127441 29.958901595265),28,St. Louis Cemetery No. 1 & No. 2,425  BASIN ST
POINT (-90.106183791454 29.930657082825),25,Valence Cemetery,2000  VALENCE ST
POINT (-90.041791060848 29.969416486888),29,"St. Vincent De Paul Cemeteries No. 1, 2, & 3",1322  LOUISA ST
POINT (-90.115954280385 29.927197372481),7,Gates of Prayer No. 2,5601  PITT ST
POINT (-90.111347853494 29.98155027355),10,Cypress Grove,120  CITY PARK AVE
POINT (-90.089801456348 29.934784003441),14,Lafayette Cemetery No. 2,2801 S SARATOGA ST
POINT (-90.089775028609 29.936057472278),27,St. Joseph Cemeteries No. 1 & 2,2220  WASHINGTON AVE
POINT (-90.052023983768 29.975450860991),24,St. Roch Cemeteries No. 1 & 2,1725  ST ROCH AVE
POINT (-90.087328990221 29.982322177231),17,St. Louis Cemetery No. 3,3421  ESPLANADE AVE
POINT (-90.060635740703 29.999883735108),1,"Hebrew Rest No. 1, No. 2, & No. 3",4100  FRENCHMEN ST
POINT (-90.12183846244 29.947507437731),18,St. Mary Cemetery,1701  HILLARY ST
POINT (-90.109979828136 29.931625729531),26,St. Vincent Soniat St. No. 1 & No. 2,1950  SONIAT ST
POINT (-90.059706868018 30.003001201974),6,Congregation Agudath Anshe Sfard,4400  ELYSIAN FIELDS AVE
POINT (-90.108552628926 29.980416220301),9,Dispersed of Judah,4901  CANAL ST
POINT (-90.108806930499 29.981606438471),3,Chevra Thilim Memorial Park,5000  IBERVILLE ST
POINT (-90.049808550949 29.941969072744),13,Hughes Cemetery,525  LAMARQUE ST
POINT (-90.110329328584 29.981336789663),15,Odd Fellows Rest,5055  CANAL ST
POINT (-90.085371375467 29.928785224523),20,Lafayette Cemetery No. 1,1400  WASHINGTON AVE
POINT (-90.062443152833 29.997703982885),19,Mount Olivet,4000  NORMAN MEYER AVE
POINT (-90.108123448485 29.979291132552),12,Gates of Prayer No. 1,4800  CANAL ST
