Start_Date,Job_Title,Department,Department_Code,Job_Term,List_Type,Req_Number,Appointment_Type
01/07/2019 12:00:00 AM,Transient,Property Management,450,Transient (3 month appointment),Regular,2019-00052,New Hire/Rehire
02/10/2019 12:00:00 AM,LABORER (CLASS CODE 1510),Sanitation Department,300,Full time,Regular,2019-00458,New Hire/Rehire
01/09/2019 12:00:00 AM,Transient,Property Management,450,Transient (3 month appointment),Regular,2019-00056,New Hire/Rehire
01/22/2019 12:00:00 AM,JUVENILE DETENTION COUNSELOR I (CLASS CODE 6028),Human Services,380,Probationary,Regular,2018-02756,New Hire/Rehire
03/12/2019 05:00:00 AM,JUVENILE DETENTION COUNSELOR I (CLASS CODE 6028),Human Services,380,Probationary,Regular,2019-00553,New Hire/Rehire
01/07/2019 12:00:00 AM,Transient,Property Management,450,Transient (3 month appointment),Regular,2019-00048,New Hire/Rehire
02/25/2019 12:00:00 AM,CONSTRUCTION INSPECTOR II (CLASS 4420),Public Works Department,500,Probationary,Regular,2019-00301,New Hire/Rehire
01/06/2019 06:00:00 AM,MANAGEMENT DEVELOPMENT ANALYST I,French Market Corporation,892,Probationary,Regular and Promotional,2018-03214,New Hire/Rehire
01/07/2019 12:00:00 AM,Transient,Property Management,450,Transient (3 month appointment),Regular,2019-00045,New Hire/Rehire
01/07/2019 12:00:00 AM,Transient,Property Management,450,Transient (3 month appointment),Regular,2019-00049,New Hire/Rehire
01/07/2019 12:00:00 AM,Transient,Property Management,450,Transient (3 month appointment),Regular,2019-00046,New Hire/Rehire
01/15/2019 12:00:00 AM,LABORER (CLASS CODE 1510),Sanitation Department,300,Full time,Regular,2018-03542,New Hire/Rehire
01/19/2019 06:00:00 AM,POLICE SERGEANT (CLASS CODE 7111),Police Department,270,Change in Civil Service Status,Regular and Promotional,2019-00189,New Hire/Rehire
01/15/2019 12:00:00 AM,Transient,Health Department,360,Transient (3 month appointment),Regular,2018-03427,New Hire/Rehire
02/03/2019 12:00:00 AM,POLICE TECHNICIAN I (CLASS CODE 7141),Police Department,270,Probationary,Regular,2018-02787,New Hire/Rehire
02/25/2019 12:00:00 AM,RECREATION LIFEGUARD I (CLASS CODE 6110),Miscellaneous,700,Probationary,Regular,2019-00106,New Hire/Rehire
03/25/2019 12:00:00 AM,MANAGEMENT DEVELOPMENT ANALYST I (CLASS CODE 0361),Finance Department,400,Full time,Regular,2019-00517,New Hire/Rehire
04/15/2019 12:00:00 AM,MANAGEMENT DEVELOPMENT ANALYST I (CLASS CODE 0361),Finance Department,400,Full time,Regular,2019-00515,New Hire/Rehire
