the_geom,OBJECTID,Contact,Name,Email,Website,Address
POINT (-90.067302072962 29.950251629833),5,,John Besh Foundation,ewhalen@chefjohnbesh.com,http://www.chefsmove.org/,426 GRAVIER ST
POINT (-90.069018882127 29.945584039086),4,,Hogs for the Cause,,,760 MAGAZINE ST
,3,Johanna Gilligan,Grow Dat Youth Farm,johanna@growdatyouthfarm.org,http://growdatyouthfarm.org/,150 ZACHARY TAYLOR DR
POINT (-90.089902158677 29.962185010959),6,,Liberty's Kitchen,,,422 S BROAD ST
,10,,Nola Green Roots,,,724 S HENNESSEY ST
POINT (-90.042780689453 29.975782978209),9,Sanjay Kharod,New Orleans Food and Farm Network,sanjay@noffn.org,http://www.noffn.org/,1838 FELICIANA ST
POINT (-90.080342236484 29.939915810181),11,,Reconcile New Orleans Inc.,,,1631 ORETHA CASTLE HALEY BLVD
POINT (-90.072036807321 29.945229416566),2,,Emeril Lagasse Foundation,,www.emeril.org,829 ST CHARLES AVE
POINT (-90.127482472346 29.937703615431),7,Darlene Wolnik,Market Umbrella,admin@marketumbrella.org,www.marketumbrella.org,7214 ST CHARLES AVE
POINT (-90.040256499083 29.967122826989),12,Rashida Ferdinand,Sankofa Community Development Corporation,austin@sankofanola.org,http://www.sankofanola.org/,3401 ST CLAUDE AVE
POINT (-90.017237556672 29.920226800123),1,Chef Dean Terrebonne,"American Culinary Federation, New Orleans Chapter",info@acfno.org,http://www.acfno.org/,3500 BEHRMAN PL
POINT (-90.044110965812 29.962069247764),8,Ann Tuennerman,New Orleans Culinary and Cultural Preservation Society Inc. (Tales of the Cocktail),ann@talesofthecocktail.com,http://www.talesofthecocktail.com/,538 LOUISA ST
