the_geom,OBJECTID,Name,Type,Description
"MULTIPOLYGON (((-90.066663539913 29.944807213852, -90.066658543944 29.944768971671, -90.070457681875 29.945631447079, -90.070451777171 29.945664810775, -90.066663539913 29.944807213852)))",8,WHITE LINEN NIGHT,Visual Arts and Crafts,JULIA ST FROM COMMERCE TO CAMP
"MULTIPOLYGON (((-90.062544036278 29.960423924644, -90.068224734258 29.954080073423, -90.068299542862 29.954125552195, -90.062601758352 29.960463918442, -90.062544036278 29.960423924644)))",2,NEW ORLEANS WINE AND FOOD EXPERIENCE,Culinary Arts,ROYAL ST FROM IBERVILLE ST TO ST PHILIP ST
"MULTIPOLYGON (((-90.102967964207 29.93530234879, -90.102961165841 29.935241337029, -90.107287771697 29.934909070922, -90.110307010473 29.935013985875, -90.111228722064 29.935185390641, -90.111212911631 29.935245518842, -90.110294105781 29.935074654352, -90.107291505673 29.934970317329, -90.102967964207 29.93530234879)))",9,FRERET STREET FESTIVAL,Neighborhood,FRERET ST FROM NAPOLEON AVE TO JEFFERSON AVE
"MULTIPOLYGON (((-90.061844400557 29.961205161453, -90.068224734258 29.954080073423, -90.068299542862 29.954125552195, -90.061899857888 29.961244658195, -90.061844400557 29.961205161453)))",1,DIRTY LINEN NIGHT,Visual Arts and Crafts,ROYAL ST FROM IBERVILLE ST TO URSULINES AVE
"MULTIPOLYGON (((-90.059554758569 29.959608958431, -90.059733300146 29.959747161232, -90.058094686391 29.961126767422, -90.0576181515 29.960780028072, -90.059554758569 29.959608958431)))",16,STREET FOOD FESTIVAL AND VENDY AWARDS,Culinary Arts,URSULINES AVE FROM N PETERS ST TO FRENCH MARKET PL; FRENCH MARKET PL FROM URSULINES AVE TO BARRACKS ST; BARRACKS ST FROM FRENCH MARKET PL TO N PETERS ST; N PETERS ST FROM BARRACKS ST TO URSULINES AVE
"MULTIPOLYGON (((-90.068481121943 29.955501474256, -90.067766571453 29.956291911736, -90.067731271021 29.956265313774, -90.068437567824 29.955477184438, -90.068481121943 29.955501474256)))",11,NEW ORLEANS OYSTER JUBILEE,Culinary Arts,BOURBON ST FROM BIENVILLE ST TO CONTI ST
"MULTIPOLYGON (((-90.091523993636 29.973292390576, -90.091525850411 29.973308809623, -90.091532205828 29.973368672594, -90.091532467074 29.973380901996, -90.091508828158 29.973657567824, -90.091502424524 29.973749926694, -90.091502313197 29.97381872562, -90.0915050658 29.973872818254, -90.091510261124 29.97392722806, -90.091528703698 29.974028973523, -90.091546937284 29.974111796476, -90.09158544469 29.974259067985, -90.091597294834 29.974333981353, -90.091606374679 29.974409752761, -90.091614372373 29.974521096756, -90.091615121746 29.974579031999, -90.091612531422 29.974679406105, -90.091611250356 29.974749690773, -90.091546309258 29.97498177596, -90.091509844433 29.975098298728, -90.091467603811 29.975213190801, -90.09141969435 29.975325850497, -90.091385765422 29.975397229138, -90.091343921438 29.975478159803, -90.091308544497 29.975539981941, -90.09127144742 29.975601124701, -90.091232591667 29.975661354043, -90.091192088519 29.975720554628, -90.091149268136 29.975778591115, -90.091112994651 29.975823595411, -90.091020591275 29.975929971446, -90.09100668795 29.975947633862, -90.090909073748 29.976091540949, -90.090803196497 29.9762222417, -90.090747879252 29.976371096085, -90.090724625075 29.976471881358, -90.090703387713 29.976537126334, -90.090669755636 29.976659057366, -90.090643685627 29.976767331556, -90.090631357189 29.976805302514, -90.09059601597 29.97690511201, -90.090544004279 29.977033222014, -90.090529536895 29.977065280343, -90.09049576536 29.977116440506, -90.090371485352 29.977284505936, -90.090326408547 29.977335242607, -90.08995854578 29.977790081138, -90.089630283972 29.97757445097, -90.08922776098 29.977295494686, -90.089220245468 29.977276725062, -90.089942555263 29.976525547797, -90.089970642494 29.976491118136, -90.090041160768 29.976390553925, -90.090199829199 29.975885758213, -90.090211990617 29.975854541563, -90.090315226444 29.975537148968, -90.090420169028 29.975201739657, -90.090425105824 29.975160910133, -90.090457150777 29.975046077283, -90.090721570304 29.974231139527, -90.090750032778 29.974132565129, -90.090793469414 29.974022766783, -90.091039680265 29.973257257971, -90.091041297146 29.973249329152, -90.091113443396 29.973121197831, -90.091523993636 29.973292390576)))",19,PRAISE FEST,Music,LAFITTE ST STARTING AT MOSS ST AND ENDING AT N JEFFERSON DAVIS PKWY; N JEFFERSON DAVIS PKWY FROM LAFITTE ST TO DUMAINE ST; DUMAINE ST FROM N JEFFERSON DAVIS PKWY TO MOSS ST; MOSS ST FROM DUMAINE ST T*
"MULTIPOLYGON (((-90.063989407805 29.949728579229, -90.072768473092 29.955661496477, -90.063602407114 29.965924046835, -90.056830177921 29.961241782783, -90.059483755689 29.95953920012, -90.062080441962 29.956270043976, -90.062449524697 29.954411631239, -90.062662072406 29.953220107418, -90.062591557236 29.951438611386, -90.062413972922 29.949885246954, -90.063989407805 29.949728579229)))",20,CHRISTMAS NEW ORLEANS STYLE,Holiday,CANAL ST FROM THE RIVER TO N RAMPART ST; N RAMPART ST FROM CANAL ST TO ESPLANADE AVE; ESPLANADE FROM N RAMPART ST TO THE RIVER; THE RIVER FROM ESPLANADE ST TO CANAL ST.
"MULTIPOLYGON (((-90.059554758569 29.959608958431, -90.059733300146 29.959747161232, -90.058094686391 29.961126767422, -90.0576181515 29.960780028072, -90.059554758569 29.959608958431)))",15,MIGHTY MISSISSIPPI DOWNRIVER FESTIVAL,Library,URSULINES AVE FROM N PETERS ST TO FRENCH MARKET PL; FRENCH MARKET PL FROM URSULINES AVE TO BARRACKS ST; BARRACKS ST FROM FRENCH MARKET PL TO N PETERS ST; N PETERS ST FROM BARRACKS ST TO URSULINES AVE
"MULTIPOLYGON (((-90.101366777366 29.920806069795, -90.101368591629 29.920836642591, -90.100235242568 29.920919599556, -90.100234165141 29.920905284607, -90.100232296553 29.920891880711, -90.101366777366 29.920806069795)))",4,2ND DISTRICT BLUES FESTIVAL,Music,MAGAZINE ST FROM NAPOLEON AVE TO GENERAL PERSHING ST
