the_geom,OBJECTID,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType,OwnerName,LocationX,LocationY
POINT (-90.017367882024 30.010545825396),15201,D. L. SPACE,6101 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,,"1140 - BUILDING MATERIAL DEALERS, OTHER","D L SPACE, INC",3697326.97226,551717.123733
POINT (-90.076989294557 29.951922709288),15204,FASTENAL COMPANY (NEW ORLEANS),542 S CLAIBORNE AVE,,NEW ORLEANS,LA,70112,507-454-5374,"1140 - BUILDING MATERIAL DEALERS, OTHER",FASTENAL COMPANY,3678691.8167,530187.70942
POINT (-90.067672481022 29.961090262908),15213,MARY'S FRENCH QUARTER HARDWARE,732 N RAMPART ST,,NEW ORLEANS,LA,70116,504-529-4465,1125 - HARDWARE STORES,MARY'S FRENCH QUARTER HARDWARE LLC.,3681605.30504,533553.837765
POINT (-89.996251409372 30.007512300501),15198,BLUE LINX CORPORATION,7500 ALMONASTER AVE,,NEW ORLEANS,LA,70126-7117,,"1140 - BUILDING MATERIAL DEALERS, OTHER",BLUE LINX CORPORATION,3704022.7258,550691.38882
POINT (-90.091520587027 29.922300176533),15206,HARRYS HARDWARE INC,3535 MAGAZINE ST,,NEW ORLEANS,LA,70115,,1125 - HARDWARE STORES,"DEUTCH, SIDNEY          DEUTCH, SIDNEY",3674206.99681,519365.707767
POINT (-90.058973600567 30.001727145231),15215,MIKE'S HARDWARE & SUPPLY,4233 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70122,,1125 - HARDWARE STORES,"MIKE'S HARDWARE & SUPPLY,LLC",3684195.33679,548361.473426
POINT (-90.111279303369 29.916644427657),15199,CABINET BY DESIGN,5201 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70115,504-899-2300,"1140 - BUILDING MATERIAL DEALERS, OTHER","POCHE,BENNETTE M",3667970.15802,517241.780533
POINT (-90.109890473358 29.96320644591),15217,PRE-CAST CONCRETE STEP COMPANY INC,7900 PALM ST,,NEW ORLEANS,LA,70125-1012,504-488-2639,"1140 - BUILDING MATERIAL DEALERS, OTHER","ALLEN JR, W P           ALLEN JR, W P",3668229.32545,534178.170117
POINT (-90.064418037931 30.008172700537),15209,JOHNNY'S TRUE VALUE HARDWARE,2001 MIRABEAU AVE,,NEW ORLEANS,LA,70122,,1125 - HARDWARE STORES,MCCULLA-GRILLOT CORP,3682446.17909,550686.206932
POINT (-89.955584178081 30.010556835416),15202,DILLON BROTHERS READY MIX CONCRETE,11100 ALMONASTER AVE,,NEW ORLEANS,LA,70127,504-329-5896,"1140 - BUILDING MATERIAL DEALERS, OTHER","DILLION BROTHERS READY MIX CONCRETE, LLC",3716880.0142,551950.962134
POINT (-90.076989294557 29.951922709288),15212,LOWE'S OF E NEW ORLEANS #2690,5770 READ RD,,NEW ORLEANS,LA,70127,504-613-1800,"1140 - BUILDING MATERIAL DEALERS, OTHER","LOWE'S HOME CENTERS, INC",3678691.8167,530187.70942
POINT (-90.076285825574 29.97551348018),15196,ADVANCED SHEET METAL WORKS,2438 BELL ST,,NEW ORLEANS,LA,70119,504-947-4442,1125 - HARDWARE STORES,"CHISHOLM, DENNIS J      TALBOT, MAURICE",3678820.47016,538768.641545
