the_geom,OBJECTID,Meter ID,Parking Zone,Street,Block,Type,Side,Number of Spaces,Parkmobile ID,Latitude,Longitude,Updated in CNOGIS
POINT (-90.066853511139 29.951460614093),1103620,CNL-400-0282,4,Canal,400,PS,U,6,2943,29.951455200000002,-90.066847899999999,
POINT (-90.105156620752 29.937086409265),1104024,MGN-4500-1065,10,Magnolia,4500,PS,L,3,29230,29.937080999999999,-90.105151000000006,
POINT (-90.074420413454 29.946508312707),1103908,JUL-900-0842,7,Julia,900,SSM,U,1,29186,29.946502899999999,-90.0744148,
POINT (-90.065154311185 29.958973515429),1104142,ORL-700-1229,6,Orleans,700,SSM,D,1,29271,29.9589681,-90.065148699999995,
POINT (-90.065106511132 29.956947615005),1104520,TOU-600-1978,6,Toulouse,600,PS,U,5,29393,29.9569422,-90.065100900000004,
POINT (-90.069582312329 29.954963214122),1103864,IBE-800-0750,6,Iberville,800,SSM,U,1,29173,29.954957799999999,-90.069576699999999,
POINT (-90.070143811917 29.949330713309),1104199,POY-600-1348,7,Poydras,600,PS,U,4,29289,29.949325300000002,-90.070138200000002,
POINT (-90.061578909817 29.959724215865),1104489,ST.PHI-500-1908,6,St. Phillip,500,PS,U,8,29383,29.959718800000001,-90.061573300000006,
POINT (-90.078790813787 29.935135609716),1104409,ST.CHA-2000-1806,9,St. Charles,2000,SSM,R,1,29364,29.9351302,-90.078785199999999,
POINT (-90.07516381395 29.955300214358),1104355,S.SAR-200-1551,5,S. Saratoga,200,SSM,L,1,29343,29.955294800000001,-90.075158200000004,
POINT (-90.077005613882 29.958805415357),1103609,CNL-1600-0283,5,Canal,1600,SSM,D,1,2955,29.9588,-90.076999999999998,
POINT (-90.065581010419 29.944584812325),1103882,JUL-200-0749,8,Julia,200,PS,D,4,29179,29.944579399999999,-90.0655754,
POINT (-90.067620111107 29.941454611656),1104171,POE-300-1305,8,Poeyfarre,300,SSM,D,1,29283,29.941449200000001,-90.067614500000005,
POINT (-90.074527812561 29.944486611907),1103858,HOW-800-0738,7,Howard,800,PS,U,4,29170,29.944481199999998,-90.074522200000004,
POINT (-90.069823311785 29.9435464119),1104011,MAG-900-0885,8,Magazine,900,PS,L,6,29208,29.943541,-90.069817700000002,
POINT (-90.07181501251 29.952148513343),1103842,GRA-800-0714,3,Gravier,800,PS,U,9,29156,29.952143100000001,-90.071809400000006,
POINT (-90.06958681159 29.95496611469),1103865,IBE-800-0752,6,Iberville,800,SSM,U,1,29173,29.954960700000001,-90.069581200000002,
POINT (-90.075321613444 29.939640410892),1104385,ST.CHA-1400-1615,9,St. Charles,1400,SSM,L,1,29358,29.939634999999999,-90.075316000000001,
POINT (-90.077794913287 29.935914710087),1104402,ST.CHA-1800-1800,9,St. Charles,1800,SSM,R,1,29362,29.935909299999999,-90.077789300000006,
POINT (-90.068021511554 29.949274313317),1103989,MAG-400-0930,4,Magazine,400,SSM,R,1,29203,29.9492689,-90.068015900000006,
POINT (-90.067953611666 29.952906714144),1103526,CHA-100-0339,6,Chartres,100,SSM,L,1,2967,29.952901300000001,-90.067948000000001,
POINT (-90.134675628862 29.944751410313),1103846,HAM-8200-0734,10,Hampson,8200,PS,R,2,29168,29.944745999999999,-90.13467,
POINT (-90.101650419661 29.937355409481),1104016,MGN-4200-1041,10,Magnolia,4200,SSM,L,1,29227,29.937349999999999,-90.101644800000003,
POINT (-90.074425713326 29.946508911972),1103909,JUL-900-0844,7,Julia,900,SSM,U,1,29186,29.946503499999999,-90.074420099999998,
POINT (-90.057974609611 29.961104716238),1103460,BRC-400-0078,6,Barracks,400,SSM,U,1,2918,29.961099300000001,-90.057969,
POINT (-90.067263411086 29.942580711806),1104242,S.DIA-300-1438,8,S. Diamond,300,SSM,U,1,29313,29.942575300000001,-90.067257799999993,
POINT (-90.077506613846 29.957805314381),1104311,S.ROB-100-1487,5,S. Robertson,100,SSM,L,1,29334,29.957799900000001,-90.077500999999998,
POINT (-90.078508114376 29.95195171381),1104181,POY-1500-1325,2,Poydras,1500,SSM,D,1,29297,29.951946299999999,-90.078502499999999,
POINT (-90.076705614059 29.958105414457),1103607,CNL-1500-0278,5,Canal,1500,SSM,U,1,2954,29.958100000000002,-90.076700000000002,
POINT (-90.062885210061 29.960165015254),1104228,ROY-900-1393,6,Royal,900,SSM,L,1,29304,29.960159600000001,-90.062879600000002,
POINT (-90.072987512789 29.94581121227),1103521,CAR-800-0286,7,Carondelet,800,PS,R,6,2963,29.945805799999999,-90.072981900000002,
POINT (-90.066314710811 29.954091514258),1103444,BIE-500-0103,6,Bienville,500,SSM,D,1,2924,29.954086100000001,-90.066309099999998,
POINT (-90.082961415794 29.954056013311),1104351,S.ROM-600-1658,1,S. Roman,600,SSM,R,1,29339,29.954050599999999,-90.082955799999993,
POINT (-90.074245613201 29.952804413753),1104299,S.RAM-300-1548,3,S. Rampart,300,PS,R,6,29327,29.952798999999999,-90.074240000000003,
POINT (-90.07992961489 29.956337313984),1104232,S.CLA-300-1418,2,S. Claiborne,300,PS,R,8,29309,29.956331899999999,-90.079924000000005,
POINT (-90.065374210516 29.940818811043),1103874,JOH-200-0772,8,John Churchill,200,PS,U,4,29177,29.9408134,-90.065368599999999,
POINT (-90.065750610201 29.942738411868),1104278,S.PET-900-1482,8,S. Peters,900,SSM,R,1,29320,29.942733,-90.065745000000007,
POINT (-90.075564612871 29.939289410353),1104387,ST.CHA-1400-1619,9,St. Charles,1400,SSM,L,1,29358,29.939284000000001,-90.075558999999998,
POINT (-90.064928011145 29.956188315103),1103547,CHA-500-0390,6,Chartres,500,SSM,R,1,2971,29.956182900000002,-90.0649224,
POINT (-90.060563609469 29.959330415768),1103689,DEC-1000-0547,6,Decatur,1000,SSM,L,1,29115,29.959325,-90.060558,
POINT (-90.065308610605 29.943713412253),1103784,FUL-800-0643,8,Fulton,800,PS,L,13,29141,29.943708000000001,-90.065303,
POINT (-90.058357608727 29.96029741548),1104042,N.PET-1200-1092,6,N. Peters,1200,PS,R,7,29240,29.960291999999999,-90.058351999999999,
POINT (-90.066269611497 29.954704814546),1103542,CHA-300-0374,6,Chartres,300,SSM,R,1,2969,29.954699399999999,-90.066264000000004,
POINT (-90.062389310692 29.960301415418),1104493,ST.PHI-600-1918,6,St. Phillip,600,SSM,U,1,29384,29.960296,-90.062383699999998,
POINT (-90.071200212917 29.958317014924),1103425,BAS-300-0090,6,Basin,300,PS,R,7,2919,29.958311599999998,-90.071194599999998,
POINT (-90.072470113135 29.953437914123),1103581,CMN-900-0456,3,Common,900,PS,D,3,2991,29.953432500000002,-90.072464499999995,
POINT (-90.06645651135 29.950727313243),1103571,CMN-400-0417,4,Common,400,SSM,D,1,2986,29.950721900000001,-90.066450900000007,
POINT (-90.0829521157 29.95446521389),1104334,S.ROM-600-1519,1,S. Roman,600,SSM,L,1,29339,29.954459799999999,-90.082946500000006,
POINT (-90.078008614291 29.952694413375),1103930,LAS-500-0884,2,LaSalle,500,PS,R,5,29193,29.952688999999999,-90.078002999999995,
POINT (-90.073938012482 29.947526412908),1103420,BAR-700-0036,7,Baronne,700,PS,L,8,2915,29.947520999999998,-90.073932400000004,
POINT (-90.069822611247 29.945593411894),1103894,JUL-500-0761,8,Julia,500,PS,D,8,29182,29.945588000000001,-90.069817,
POINT (-90.073505612909 29.941505411083),1104379,ST.CHA-1100-1736,9,St. Charles,1100,PS,R,5,29355,29.941500000000001,-90.073499999999996,
POINT (-90.065001911105 29.956102815006),1103545,CHA-500-0386,6,Chartres,500,SSM,R,1,2971,29.956097400000001,-90.064996300000004,
POINT (-90.065852811271 29.957461115334),1104524,TOU-700-1992,6,Toulouse,700,SSM,U,1,29394,29.957455700000001,-90.065847199999993,
POINT (-90.075238913448 29.955225813851),1104356,S.SAR-200-1553,5,S. Saratoga,200,SSM,L,1,29343,29.955220400000002,-90.075233299999994,
POINT (-90.068435711058 29.946667612276),1103801,GIR-400-0582,8,Girod,400,PS,U,9,29146,29.946662199999999,-90.0684301,
POINT (-90.070304811526 29.950800813642),1104427,ST.CHA-300-1597,3,St. Charles,300,SSM,L,1,29350,29.950795400000001,-90.070299199999994,
POINT (-90.067685511666 29.949567612796),1104122,NAT-400-1206,4,Natchez,400,SSM,U,1,29260,29.949562199999999,-90.067679900000002,
POINT (-90.066511510672 29.954432914042),1103539,CHA-300-0368,6,Chartres,300,SSM,R,1,2969,29.954427500000001,-90.066505899999996,
POINT (-90.080705614136 29.933905409663),1104419,ST.CHA-2200-1822,9,St. Charles,2200,SSM,R,1,29366,29.933900000000001,-90.080699999999993,
POINT (-90.071075311669 29.94779821307),1104434,ST.CHA-700-1702,7,St. Charles,700,PS,R,5,29352,29.947792799999998,-90.071069699999995,
POINT (-90.071834611981 29.950142413415),1103511,CAR-400-0337,3,Carondelet,400,PS,R,6,2959,29.950137000000002,-90.071828999999994,
POINT (-90.069740411913 29.949225312994),1104195,POY-600-1344,7,Poydras,600,SSM,U,1,29289,29.949219899999999,-90.069734800000006,
POINT (-90.071545412335 29.951007513774),1103505,CAR-300-0301,3,Carondelet,300,SSM,L,1,2958,29.9510021,-90.071539799999996,
POINT (-90.0679786108 29.941038411292),1103401,ANN-1000-0029,8,Annunciation,1000,PS,L,7,2907,29.941033000000001,-90.067972999999995,
POINT (-90.080305613879 29.93450540948),1104414,ST.CHA-2100-1661,9,St. Charles,2100,SSM,L,1,29365,29.9345,-90.080299999999994,
POINT (-90.066660411254 29.949594813676),1104504,TCH-300-1944,4,Tchoupitoulas,300,SSM,R,1,29387,29.949589400000001,-90.066654799999995,
POINT (-90.064539410717 29.950331713661),1103610,CNL-300-0199,6,Canal,300,SSM,D,1,2942,29.9503263,-90.064533800000007,
POINT (-90.082293515531 29.956300614594),1104323,S.ROM-500-1620,1,S. Roman,500,SSM,R,1,29338,29.9562952,-90.082287899999997,
POINT (-90.072111812865 29.949209412923),1103512,CAR-500-0287,7,Carondelet,500,PS,L,13,2960,29.949204000000002,-90.072106199999993,
POINT (-90.066353810968 29.955302114611),1103654,CNT-600-0476,6,Conti,600,SSM,U,1,2998,29.955296700000002,-90.066348199999993,
POINT (-90.0768293134 29.952551013338),1104150,PER-1300-2046,2,Perdido,1300,PS,U,4,29275,29.952545600000001,-90.076823700000006,
POINT (-90.071140511529 29.943463811957),1103494,CAM-900-0197,7,Camp,900,SSM,L,1,2940,29.943458400000001,-90.071134900000004,
POINT (-90.070212012007 29.946675212611),1103486,CAM-700-0147,7,Camp,700,PS,L,8,2938,29.946669799999999,-90.070206400000004,
POINT (-90.075252313571 29.955204913754),1104357,S.SAR-200-1555,5,S. Saratoga,200,SSM,L,1,29343,29.955199499999999,-90.075246699999994,
POINT (-90.067045411057 29.953834314339),1103535,CHA-200-0358,6,Chartres,200,SSM,R,1,2968,29.953828900000001,-90.067039800000003,
POINT (-90.057045609339 29.962624216668),1103702,DEC-2100-0553,6,Decatur,2100,SSM,L,1,29119,29.962618800000001,-90.057040000000001,
POINT (-90.098505618037 29.921105405795),1103992,MAG-4100-1005,10,Magazine,4100,PS,L,4,29221,29.921099999999999,-90.098500000000001,
