the_geom,ObjectID,Name,Address
POINT (-90.093297396182 29.986458536525),8,New Orleans Museum of Art,1  COLLINS DIBOLL CR
POINT (-90.07012216375 29.942955828411),2,"National World War II Museum, Inc.",945  MAGAZINE ST
POINT (-90.080070083499 29.940281667529),7,Southern Food and Beverage Museum,1609  ORETHA CASTLE HALEY BLVD
POINT (-90.071296544035 29.943430230971),5,Memorial Hall Museum (aka: Civil War Museum),929  CAMP ST
POINT (-90.065888101292 29.95713061453),6,Historic New Orleans Collection,533  ROYAL ST
POINT (-90.066038741884 29.947628537997),12,"American-Italian Renaissance Found., Museum & Libr",537 S PETERS ST
POINT (-90.064946086719 29.956090203294),10,New Orleans Pharmacy Museum Ltd.,514  CHARTRES ST
POINT (-90.079967250978 29.936412928869),4,George & Leah McKenna Museum of Art,2003  CARONDELET ST
POINT (-90.009827830478 29.962153927627),11,House of Dance & Feathers,1317  TUPELO ST
,14,Backstreet Cultural Museum,1116  ST CLAUDE ST
POINT (-90.068078355702 29.944986360016),1,Louisiana Children's Museum,420  JULIA ST
POINT (-90.067619407069 29.95729021269),9,Hermann-Grima/Gallier Historic Houses,820  ST LOUIS ST
POINT (-90.06787941166 29.966546272562),3,New Orleans African American Museum,1418  GOVERNOR NICHOLLS ST
POINT (-90.070978416406 29.943868297901),13,Ogden Museum of Southern Art,925  CAMP ST
