the_geom,ObjectID,Name,Address
POINT (-90.055544996388 29.967629657086),47,Mission Utopia,2291 N RAMPART ST
POINT (-90.130299203452 29.956339126874),15,J.W. Johnson School,1800  MONROE ST
POINT (-90.011959139296 29.966861727452),3,Charbonnet Gardens,1700  CHARBONNET ST
POINT (-90.089486308025 29.932664775868),11,Faubourg Delassize Community Garden,2903  DRYADES ST
POINT (-90.079671053108 29.962397214677),46,Workers' Community Garden,217 N PRIEUR ST
POINT (-90.075910471369 29.942425055047),28,Petite Lafitte,1730  CLIO ST
POINT (-90.05813342165 29.969587277245),36,Nouveau Marigny,1201  FRENCHMEN ST
POINT (-90.034119751548 29.965746969773),44,Trouser House,4105  ST CLAUDE AVE
POINT (-90.055600156988 29.974652154016),23,Our Garden,2250 N DERBIGNY ST
POINT (-90.09635939909 29.954573704551),33,Garden of Life NFL Youth Education Town Garden,1140 S BROAD ST
POINT (-90.071542908437 29.974097087092),5,Columbus Greenway,1501 N GALVEZ ST
POINT (-90.081010124722 29.973332833655),30,Rethink Food Justice Garden,1001 S BROAD ST
POINT (-90.078188155481 29.942840228679),42,Sun Harvest Kitchen Garden,1237  ORETHA CASTLE HALEY BLVD
POINT (-90.102604755225 29.946262704251),1,Andrew Wilson Charter School,3617  GENERAL PERSHING ST
POINT (-90.070142438198 29.965057841085),43,Treme Jazz,925 N VILLERE ST
POINT (-90.075514521082 29.942288104858),49,Lutz Farm,1734  CLIO ST
POINT (-90.071503615649 29.964949036961),18,Good Food NOLA,1608  DUMAINE ST
POINT (-90.037444417625 29.964772937398),24,Frederick Douglass Garden,3820 N RAMPART ST
POINT (-90.076362684233 29.942881318905),26,Parkway Partners,1137  BARONNE ST
POINT (-90.136022564778 29.953838916766),22,Our Garden,1300  FERRY PL
POINT (-90.010654253311 29.974435964492),34,Lamanche Community Farm,2400  LAMANCHE ST
POINT (-90.013640259497 29.966777460048),8,Dr. King Charter School,1617  CAFFIN AVE
POINT (-90.063883735608 29.972386812714),37,The Porch,1653 N ROBERTSON ST
POINT (-90.116390634048 29.959901596888),4,College Inn Farm,2938 S CARROLLTON AVE
POINT (-90.010330226589 29.967411350639),25,Our School at Blair Grocery,1740  BENTON ST
POINT (-90.021926067873 29.970338321908),2,Common Ground Relief,1800  DESLONDE ST
POINT (-90.02188820892 29.968996834182),7,Capstone 118,1641  DESLONDE ST
POINT (-90.04910833998 29.966497348688),39,Le Marigny,900  ST FERDINAND ST
POINT (-90.053164744405 29.964290479741),35,Faubourg St. Roch Project,618  SPAIN ST
POINT (-90.096826639564 29.948038769891),13,Garden on Marais,2613 N MIRO ST
POINT (-90.11777211628 29.962392190539),19,Jack and Jake's Local Organic Market,8300  EARHART BLVD
POINT (-90.09432474125 29.970996413048),12,First Grace United Methodist Church Garden,3401  CANAL ST
POINT (-90.10571759962 29.933595398604),45,Samuel J. Green Charter School,2319  VALENCE ST
POINT (-90.069913527838 29.969877850854),17,Joseph Clark Preparatory School,1301 N DERBIGNY ST
POINT (-90.086071968919 29.942696733023),10,Early Childhood Development Center,2405  JACKSON AVE
POINT (-90.040256499083 29.967122826989),41,Sankofa Community Development Corporation,3401  ST CLAUDE AVE
POINT (-90.039725821997 29.96891348584),9,9th Ward Community Garden,1301  DESIRE ST
POINT (-90.092155115355 29.939449709405),20,Harmony Oaks Community Garden,2601  WASHINGTON AVE
POINT (-90.007951654788 29.975418133926),40,Whipple Farm,5807  WHIPPLE ST
POINT (-90.122722253238 29.944692675759),21,Lusher Charter School,7315  WILLOW ST
POINT (-90.098432793307 29.956069400839),16,Bridge House Garden,4150  EARHART BLVD
POINT (-90.022952948402 29.957570959661),48,Laurentine Ernst,603  FORSTALL ST
POINT (-90.07978811974 29.940475942382),38,Haley's Harvest,1603  ORETHA CASTLE HALEY BLVD
POINT (-90.048615782346 29.965132174481),29,Project Lazarus Garden,2824  DAUPHINE ST
POINT (-90.043241689465 29.976275769931),27,Pelican Cooperative,1901  MONTEGUT ST
POINT (-90.015705705602 29.955801985094),32,Guerilla Garden,5723  CHARTRES ST
POINT (-90.063820278628 29.968089165008),6,7th Ward Community Garden,1220  COLUMBUS ST
POINT (-90.094092001758 29.946626030708),50,Mikey's Garden,3334  SECOND ST
POINT (-90.038715345185 29.965255566788),31,Saint Brother Andre Garden,3615 N RAMPART ST
POINT (-90.105095541351 29.961789678697),14,Gathering Tree,1020 S TELEMACHUS ST
