the_geom,OBJECTID,Contact,Name,Email,Website,Address
POINT (-90.06983546749 29.951728232894),164,,Brad A Adams Charitable Foundation,,,228 ST CHARLES AVE
,181,Eugene Baronne,New Orleans School of Glassworks and Printmaking Studio,,www.neworleansglassworks.org,727 MAGAZINE ST
POINT (-90.124482216407 29.977349855339),169,,Gitter-Yelen Foundation,,,9 BAMBOO RD
POINT (-90.06918976121 29.945913160438),168,,George Rodrigue Foundation,info@georgerodriguefoundation.org,http://www.georgerodriguefoundation.org/site.php,747 MAGAZINE ST
POINT (-90.128176073902 29.924717798981),162,,Audubon Nature Institute Foundation,,http://www.auduboninstitute.org/,6500 MAGAZINE ST
,173,,International New Orleans Exchange,,,29 MCALISTER DR
POINT (-90.07012216375 29.942955828411),184,,WWII Pavilions,,,945 MAGAZINE ST
POINT (-89.91087260145 29.890648786058),167,Ama Rogan,Friends of A Studio in the Woods,info@astudiointhewoods.org,www.astudiointhewoods.org,13401 PATTERSON RD
POINT (-90.080968454523 29.933625659445),170,Ms. Bonnie Broel,House of Broel Foundation,info@houseofbroel.com,,2220 ST CHARLES AVE
POINT (-90.113973343188 29.935480093294),161,,Advocates for Arts Based Education,,,5624 FRERET ST
POINT (-90.073157345072 29.942659620627),183,,Sydney and Walda Besthoff Foundation,,,1055 ST CHARLES AVE
POINT (-90.07513755501 29.973511948499),165,,Edgar Degas Foundation Inc.,edf@degashouse.com,http://www.degas.org/foundation.htm,2302 ESPLANADE AVE
,185,Timeka Junius,"Young Aspirations/Young Artists, Inc. (YAYA, Inc.)",timeka@yayainc.com,www.yayainc.com,3924 CONTI ST
POINT (-90.074048340173 29.9318813464),180,Mark Sindler,New Orleans Photo Alliance,docutrek@gmail.com,http://www.neworleansphotoalliance.org/,1111 ST MARY ST
POINT (-90.059485420686 30.026703330203),171,Ms. Urmila Kamath,Indian Arts Circle of New Orleans,iacno@cox.net,http://iacneworleans.com/,2228 KILLDEER ST
POINT (-90.070198693408 29.946905012398),178,,New Orleans Arts District Association,noada@neworleansartdistrict.com,http://neworleansartdistrict.com/noada/,709 CAMP ST
POINT (-90.0750927986 29.974656511985),174,Clayton Campbell,Joan Mitchell Center,sboles@joanmitchellcenter.org,,2285 BAYOU RD
POINT (-90.110171676954 29.923363157359),166,,Foundation for the Crafts of the Newcomb Style,,,1202 SONIAT ST
POINT (-90.063151211083 29.959336696056),176,Susan H. Maclay,Louisiana Museum Foundation,smaclay@thelmf.org,www.thelmf.org,632 DUMAINE ST
POINT (-90.057091214262 29.968118313377),175,Ms. Echo Olander,KIDsmART,echo@kidsmart.org,www.kidsmart.org,1024 ELYSIAN FIELDS AVE
POINT (-90.112572825557 29.92021329915),177,,New Orleans Academy of Fine Arts Ltd.,auseklisozols@noafa.com,http://www.noafa.com/,5256 MAGAZINE ST
,179,,New Orleans Botanical Garden Foundation,info@nocp.org,http://neworleanscitypark.com/botanical-garden,101 VICTORY AVE
POINT (-90.022478168418 29.92655085088),172,,International Arts Foundation,,,3220 GENERAL DE GAULLE DR
POINT (-90.06509579749 29.950859743421),182,Vitrice McMurry,RHINO Contemporary Crafts Co.,,http://rhinocrafts.com/,333 CANAL ST
POINT (-90.128176073902 29.924717798981),163,,Audubon Nature Institute Inc.,,http://www.auduboninstitute.org/,6500 MAGAZINE ST
