the_geom,OBJECTID,OwnerName,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType
POINT (-90.10238926156 29.916910432707),381075,"ROUSE'S ENTERPRISES, LLC",ROUSES MARKET #26(UPTOWN),4500 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70115,985-447-5998,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.120664034947 29.957054464413),381070,CLAIBORNE FRESH MARKET LLC,ROBERT FRESH MARKET #124,8115 S CLAIBORNE AVE,,NEW ORLEANS,LA,70118,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.078348211519 29.951267900741),381032,"NOLA SUNDRY, LLC",NOLA SUNDRY,1450 POYDRAS ST,STE 120,NEW ORLEANS,LA,70112,504-667-6932,1101 - CONVENIENCE STORES
POINT (-90.054762599341 29.9630263051),380943,"TWO HOT CHICKS AND TWO GUYS, LLC",GRANDE KREWE,511 MARIGNY ST,,NEW ORLEANS,LA,70117,,"1110 - BEER, WINE & LIQUOR STORES"
POINT (-90.107440412916 29.924373023075),381169,ZARA'S LIL GIANT SUPERMA,ZARA'S LIL GIANT SUPERMARKET,4838 PRYTANIA ST,,NEW ORLEANS,LA,70115,504-895-0581,1101 - CONVENIENCE STORES
POINT (-90.020639725897 29.925316567452),381007,"ZEGAR, INC",MIKE'S DISCOUNT 2,3600 MACARTHUR BLVD,B-2,NEW ORLEANS,LA,70114,504-368-1350,1101 - CONVENIENCE STORES
POINT (-90.020827187447 29.962089767741),380848,ST. CLAUDE DISCOUNT LLC,BROTHER'S ST CLAUDE,5104 ST CLAUDE AVE,A,NEW ORLEANS,LA,70117,504-220-3777,1101 - CONVENIENCE STORES
POINT (-89.818452798836 30.070799135257),380835,BIG BOY DISTRIBUTORS LLC,BIG BOY DISTRIBUTORS,4441 SAN GIORGIO ST,,NEW ORLEANS,LA,70129,504-628-5689,"0138 - GROCERY & RELATED PRDCTS WHLSRS, OTH"
POINT (-90.094156019576 29.925506605722),381053,"PRYTANIA MART,LLC",PRYTANIA MART,3636 PRYTANIA ST,,NEW ORLEANS,LA,70115,,1101 - CONVENIENCE STORES
POINT (-89.963349587694 30.048268165909),380917,SARA GROCERY INC,EASTOVER MARKET,7050 BULLARD AVE,,NEW ORLEANS,LA,70128,504-244-0741,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.100217704488 29.940832037626),380890,SOUTH CLAIBORNE OPERATIONS,CLAIBORNE #165,4101 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,,1101 - CONVENIENCE STORES
POINT (-90.041379393805 29.953988448223),381068,A. B. & R. FINE FOODS LL,RIVER FINE FOODS STORE,1403 PATTERSON ST,,NEW ORLEANS,LA,70114,504-362-4795,1101 - CONVENIENCE STORES
POINT (-90.089377801288 29.9629592514),380842,HOANG AN INC,BROAD & BANKS SEAFOOD,342 S BROAD ST,,NEW ORLEANS,LA,70119,,1106 - GROCERY (EXC CONVENIENCE) STORES
POINT (-90.047486051616 29.97722427571),380865,RACHEL SEAFOOD INC,CAJUN SEAFOOD 2,1901 ALMONASTER AVE,,NEW ORLEANS,LA,70117,504-945-5447,1101 - CONVENIENCE STORES
POINT (-90.050421905135 29.948514295701),381040,"OPELOUSAS POINT SUPERMARKET, INC",OPELOUSAS POINT SUPERMARKET,601 OPELOUSAS AVE,,NEW ORLEANS,LA,70114,,1101 - CONVENIENCE STORES
