the_geom,OBJECTID,Contact,Name,Email,Website,Address
POINT (-90.075405194035 29.957160709955),157,,Save the Oaks Inc.,,,1440 CANAL ST
POINT (-90.061000759371 29.961030289923),143,,Friends of Beauregard Keyes House Inc.,,http://www.bkhouse.org/,1113 CHARTRES ST
POINT (-90.124615128458 29.977692199291),150,Joe Baker,Longue Vue House & Gardens,jbaker@longuevue.com,www.longuevue.com,7 BAMBOO RD
POINT (-90.077433422221 29.9439267524),142,,Felicity Street Redevelopment Corporation,felicitystreet@gmail.com,http://www.felicityredevelopment.org/,1139 ORETHA CASTLE HALEY BLVD
POINT (-90.07636268528 29.942881318013),152,,Parkway Partners Program,info@parkwaypartnersnola.org,http://parkwaypartnersnola.org/,1137 BARONNE ST
POINT (-90.071915849064 29.943011227238),141,Ms. Melissa Urcan,American Institute of Architects New Orleans Chapter,,www.aianeworleans.org,1000 ST CHARLES AVE
POINT (-90.06777093936 29.94283307094),153,Patty Gay,Preservation Resource Center,pgay@prcno.org,http://www.prcno.org/,923 TCHOUPITOULAS ST
POINT (-90.063804082934 29.957642010328),146,,Friends of the Cabildo,jason@friendsofthecabildo.org,http://www.friendsofthecabildo.org/,701 CHARTRES ST
POINT (-90.070092209078 29.951949376514),149,,Latter Library Garden Conservancy,,,201 ST CHARLES AVE
POINT (-90.070629920807 29.959733262926),156,Louise Fergusson,"Save Our Cemeteries, Inc.",director@saveourcemeteries.org,www.saveourcemeteries.org,501 BASIN ST
POINT (-90.078678606565 29.942374717299),160,,Urban Conservancy,,http://www.urbanconservancy.org/,1307 ORETHA CASTLE HALEY BLVD
POINT (-90.067619407069 29.95729021269),159,,The Woman's Exchange,info@hgghh.org,http://www.hgghh.org/,820 ST LOUIS ST
POINT (-90.089145232757 29.981934520104),151,Stan Jahncke,"Louisiana Landmarks Society, Inc.",jahnckes@bellsouth.net,www.louisianalandmarks.org,1440 MOSS ST
POINT (-90.018352253521 29.96660230377),155,,Renaissance Project,info@therenaissanceproject.la,http://therenaissanceproject.la/,5234 N CLAIBORNE AVE
POINT (-90.07127410968 29.947823830654),148,,Lafayette Square Conservancy,lafayettesquare@gmail.com,http://www.lafayette-square.org/site.php,625 ST CHARLES AVE
POINT (-90.10249652013 29.959308667305),154,,Providence Housing Corporation,PCHinfo@providencech.org,http://www.providencecommunityhousing.org/,1050 S JEFFERSON DAVIS PKWY
POINT (-90.07454620632 29.929931819454),145,Blanche Cominsky,Friends of St. Alphonsus,fosa2025@bellsouth.net,http://www.stalphonsusneworleans.org/,2025 CONSTANCE ST
POINT (-90.066075109632 29.955764058524),158,,Supreme Court of Louisiana Historical Society,,,400 ROYAL ST
POINT (-90.111182433476 30.020351306785),147,,Friends of West End Inc.,,http://www.friendsofwestend.org/site.php,141 ROBERT E LEE BLVD
POINT (-90.09665237677 29.9926444467),144,,Friends of City Park,friends@friendsofcitypark.com,http://www.friendsofcitypark.com/,1 PALM DR
