the_geom,OBJECTID,Name,Segment,Type,Address
POINT (-90.067145783225 29.955186796597),1339,"BEVOLO GAS AND ELECTRIC LIGHTS, INC",Preservation Businesses,Gas Lighting,318 ROYAL  ST
POINT (-90.092962980573 29.921515576349),1345,WILLIAMSON DESIGNS,Preservation Businesses,Interior Design Retail,3648 MAGAZINE  ST
POINT (-90.088588460801 29.980151541681),1367,NANO,Preservation Businesses,Interior Designers,1317 MOSS  ST
POINT (-90.133624402794 29.95030814598),1396,J W DRENNAN LLC,Preservation Businesses,Restoration,8518 OAK  ST
POINT (-90.123882311732 29.972241302219),1380,PLANT GALLERY,Preservation Businesses,Landscape Architecture,9401 AIRLINE  HWY
POINT (-90.080433364276 29.938354659712),1385,ARCHITECTURAL ANTIQUES,Preservation Businesses,Restoration,1824 FELICITY  ST
POINT (-90.109182739203 29.924480352158),1310,"CAROLINE FERGUSON, AIA",Preservation Businesses,Architecture,5008 PRYTANIA  ST
POINT (-90.070092209078 29.951949376514),1322,MATHES BRIERRE ARCHITECTS,Preservation Businesses,Architecture,201 ST CHARLES  AVE
POINT (-90.076944196252 29.947856047882),1315,IMRE HEGEDUS AND ASSOCIATED ARCHITECTS,Preservation Businesses,Architecture,701 LOYOLA  AVE
POINT (-90.072082774031 29.94509540614),1356,HOLDEN AND DUPUY INTERIOR DESIGN,Preservation Businesses,Interior Designers,839 ST CHARLES  AVE
POINT (-90.095337412816 29.9210522529),1341,AUX BELLES CHOSES,Preservation Businesses,Interior Design Retail,3912 MAGAZINE  ST
POINT (-90.133432821532 29.948640031358),1335,ACCESSIBLE HOME SOLUTIONS LLC,Preservation Businesses,Carpentry,1030 CAMBRONNE  ST
POINT (-90.096754990696 29.973093598573),1375,ALVAREZ-BASIK DESIGN GROUP,Preservation Businesses,Landscape Architecture,132 N CORTEZ  ST
POINT (-90.101562188873 29.980409926225),1398,JEFF POREE,Preservation Businesses,Restoration,4437 ST LOUIS  ST
POINT (-90.064792079815 29.959933689083),1360,LPC ENTERPRISES,Preservation Businesses,Interior Designers,819 BOURBON  ST
POINT (-90.092731087924 29.977143762311),1323,PASCAL ARCHITECTS,Preservation Businesses,Architecture,3700 ORLEANS  AVE
POINT (-90.086314486071 29.923947666136),1365,MODERN MARKET,Preservation Businesses,Interior Designers,3138 MAGAZINE  ST
POINT (-90.133356018114 29.950108351728),1391,DRISCOLL ANTIQUES  AND RESTORATION,Preservation Businesses,Restoration,8500 OAK  ST
POINT (-90.07560194644 29.93050969197),1343,SPRUCE,Preservation Businesses,Interior Design Retail,2043 MAGAZINE  ST
POINT (-90.070500038702 29.946013239401),1306,BELL ARCHITECTS,Preservation Businesses,Architecture,755 CAMP  ST
POINT (-90.067267080926 29.940052627602),1331,WAYNE TROYER ARCHITECT,Preservation Businesses,Architecture,1119 TCHOUPITOULAS  ST
POINT (-90.084902802538 29.930049870307),1358,JEANNE BAROUSSE DESIGNS,Preservation Businesses,Interior Designers,2727 PRYTANIA  ST
POINT (-90.133210388501 29.941341420386),1354,GALLERY 5,Preservation Businesses,Interior Designers,518 FERN  ST
