the_geom,OBJECTID,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType,OwnerName,LocationX,LocationY
POINT (-90.093460963896 29.986550267986),1155451,RALPH BRENNAN'S COURTYARD CAFE,1 COLLINS DIBOLL CIR,,NEW ORLEANS,LA,70130,504-482-1264,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),CHARTRES 310 INC.,3673339.55284,542722.803277
POINT (-90.016545142699 29.918919989576),1155373,PAPA JOHN'S PIZZA #616,3580 HOLIDAY DR,,NEW ORLEANS,LA,70114,504-365-8100,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"RO HO HO, INC",3697970.24445,518401.712566
POINT (-90.051125769809 29.968663012328),1155287,MORROW'S,2438 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"L SQUARED INVESTMENT GROUP,LLC",3686813.77058,536365.817031
POINT (-90.076989294557 29.951922709288),1154828,CHUCK E CHEESE'S,3701 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70114,214-258-8507,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"CEC ENTERTAINMENT,INC",3678691.8167,530187.70942
POINT (-90.076003436105 30.006998790821),1155038,"GREAT WOK RESTAURANT OF NEW ORLEANS,LLC",1554 MIRABEAU AVE,,NEW ORLEANS,LA,70122,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"GREAT WOK RESTAURANT OF NEW ORLEANS,LLC",3678784.23918,550218.906964
POINT (-90.082518465766 29.926026417656),1154858,COQUETTE,2800 MAGAZINE ST,,NEW ORLEANS,LA,70115,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),BISTRO COQUETTE LLC,3677043.71477,520751.717689
POINT (-90.022675508039 29.926207558706),1155243,MCDONALDS,3250 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70114,504-258-3039,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"LJC MANAGEMENT,LLC",3695998.02685,521029.452985
POINT (-90.058767563901 29.988949827591),1155512,SAMMY'S FOOD SERVICE,3000 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70122,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),SAMMY'S FOOD SERVICE LLC,3684312.23209,543715.873742
POINT (-90.133794426436 29.943107411776),1155148,LA MADELEINE 501,601 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,281-201-2700,2062 - LIMITED SVC RESTAURANTS(NO TABLE SVC),"HZ LM CASUAL FOODS, LLC",3660737.10822,526789.355326
POINT (-90.078348211519 29.951267900741),1155614,SWEGS CAFE,1450 POYDRAS ST,,NEW ORLEANS,LA,70112,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE),"SWEGS BENSON TOWER, LLC",3678264.10274,529944.881345
