Name,Address,Type,Bedroom limit,Guest limit,Expiration date,Location,x,y
856 Carondelet St #4,856 Carondelet St #4,Commercial STR,1,2,10/04/2020 11:59:59 PM,"(29.9447839592302, -90.0732354418277)",3679907.28,527606.8
4428 Fontainebleau Dr,4428 Fontainebleau Dr,Accessory STR,1,2,10/06/2020 11:59:59 PM,"(29.9505384310544, -90.1077403198011)",3668957.6,529580.82
414 Newton St,414 Newton St,Commercial STR,1,2,09/08/2020 11:59:59 PM,"(29.945611911745, -90.0517465163806)",3686709.19,527983.35
1436 Melpomene St,1436 Melpomene St,Accessory STR,2,4,09/25/2020 10:48:34 AM,"(29.9380341433108, -90.0738935601559)",3679725.84,525150.03
1510 Congress St,1510 Congress St,Accessory STR,2,4,08/27/2020 05:17:24 PM,"(29.9707945399771, -90.03764251271)",3691072.16,537190.89
812 Henry Clay Ave,812 Henry Clay Ave,Accessory STR,4,4,09/08/2020 11:59:59 PM,"(29.9235576033378, -90.1244041890151)",3663784.15,519713.51
3430 Magazine St,3430 Magazine St,Commercial STR,2,4,09/08/2020 11:59:59 PM,"(29.9224670562362, -90.0896163608941)",3674807.72,519434.88
427 S Gayoso St,427 S Gayoso St,Accessory STR,2,4,09/08/2020 11:59:59 PM,"(29.9646708395275, -90.0935882858431)",3673383.53,534768.11
1632 Audubon St,1632 Audubon St,Accessory STR,2,4,09/08/2020 11:59:59 PM,"(29.945752609396, -90.1193336424413)",3665304.77,527801.43
1941 Marigny St,1941 Marigny St,Accessory STR,1,2,09/08/2020 11:59:59 PM,"(29.9776634185974, -90.0561062921831)",3685198.6,539623.04
5231 Chestnut St,5231 Chestnut St,Accessory STR,1,2,09/08/2020 11:59:59 PM,"(29.9225890881525, -90.1117539575834)",3667794.95,519403.82
1235 N Robertson St,1235 N Robertson St,Accessory STR,2,4,09/08/2020 11:59:59 PM,"(29.968262557259, -90.068267805416)",3681386.21,536161.82
